Country/Territory,Estimate,Year,Estimate,Year,Estimate,Year
Luxembourg *,141587,2022,134754,2021,110300,2020
Liechtenstein *,—,—,—,—,139100,2009
Singapore *,131426,2022,116487,2021,93400,2020
Ireland *,131034,2022,106456,2021,89700,2020
Monaco *,—,—,—,—,115700,2015
Qatar *,113675,2022,93521,2021,85300,2020
Bermuda *,—,—,85192,2021,81800,2019
Isle of Man *,—,—,—,—,84600,2014
Switzerland *,84469,2022,77324,2021,68400,2020
Norway *,78128,2022,79201,2021,63600,2020
United Arab Emirates *,77272,2022,66766,2020,67100,2019
United States *,75180,2022,69288,2021,60200,2020
Brunei *,74196,2022,66620,2021,62200,2020
Cayman Islands *,—,—,72481,2020,73600,2019
San Marino *,72070,2022,59572,2020,60800,2019
Falkland Islands *,—,—,—,—,70800,2015
Hong Kong *,69987,2022,65973,2021,56200,2020
Denmark *,69845,2022,64651,2021,55900,2020
Netherlands *,69715,2022,63767,2021,54200,2020
Taiwan *,69500,2022,—,—,24502,2018
Austria *,66680,2022,58428,2021,51900,2020
Iceland *,66467,2022,57646,2021,52300,2020
Andorra *,65372,2022,—,—,49900,2015
Sweden *,63877,2022,59324,2021,50700,2020
Germany *,63835,2022,57928,2021,50900,2020
Australia *,62192,2022,55807,2021,48700,2020
Belgium *,62065,2022,58931,2021,48200,2020
Gibraltar *,—,—,—,—,61700,2014
Finland *,58659,2022,55007,2021,47300,2020
Macau *,57929,2022,73802,2021,54800,2020
Bahrain *,57921,2022,45411,2021,40900,2020
Canada *,57827,2022,52085,2021,45900,2020
Jersey *,—,—,—,—,56600,2016
Malta *,56338,2022,47715,2021,39200,2020
France *,56200,2022,50729,2021,42000,2020
United Kingdom *,55862,2022,49675,2021,41600,2020
Saudi Arabia *,55802,2022,49551,2021,44300,2020
European Union *[n 1],53960,2022,48436,2021,44436,2019
South Korea *,53574,2022,46919,2021,42300,2020
Guernsey *,—,—,—,—,52500,2014
Israel *,52173,2022,43722,2021,38300,2020
Kuwait *,51528,2022,47303,2020,49900,2019
Italy *,51062,2022,45936,2021,39000,2020
New Zealand *,50851,2022,46420,2021,42400,2020
Slovenia *,49968,2022,43625,2021,36500,2020
Cyprus *,49504,[n 2]2022,42556,[n 2]2021,37700,[n 2]2020
Czech Republic *,48919,2022,44261,2021,38300,2020
Japan *,48813,2022,42940,2021,41400,2019
Spain *,46551,2022,40775,2021,36200,2020
Aruba *,46309,2022,31183,2020,37500,2017
Saint Pierre and Miquelon *,—,—,—,—,46200,2006
Lithuania *,46159,2022,42665,2021,36700,2020
Estonia *,46126,2022,42192,2021,35600,2020
Puerto Rico *,43820,2022,34334,2020,33400,2020
Guyana *,42647,2022,24494,2021,18700,2020
Poland *,42466,2022,37503,2021,32200,2020
Hungary *,42132,2022,36753,2021,31000,2020
Portugal *,42067,2022,35888,2021,32200,2020
Greenland *,—,—,—,—,41800,2015
Oman *,41150,2022,31118,2020,27300,2019
Faroe Islands *,—,—,—,—,40000,2014
Bahamas *,39785,2022,34108,2021,30800,2020
Turkey *,38759,2022,30472,2021,28400,2020
Slovakia *,38620,2022,33010,2021,30300,2020
Latvia *,38124,2022,34469,2021,29900,2020
Romania *,38097,2022,35414,2021,28800,2020
Seychelles *,37661,2022,29838,2021,24400,2020
Croatia *,37550,2022,33801,2021,26500,2020
U.S. Virgin Islands *,—,—,—,—,37000,2016
Greece *,36466,2022,31295,2021,27300,2020
Panama *,36370,2022,31680,2021,25400,2020
Sint Maarten (Dutch part) *,—,—,35973,2018,35300,2018
Guam *,—,—,—,—,35600,2016
British Virgin Islands *,—,—,—,—,34200,2017
Montserrat *,—,—,—,—,34000,2011
Malaysia *,33113,2022,29617,2021,26400,2020
Russia *,31967,2022,32803,2021,26500,2020
New Caledonia *,—,—,—,—,31100,2015
Maldives *,30888,2022,18232,2021,13000,2020
Kazakhstan *,30827,2022,28600,2021,25300,2020
Trinidad and Tobago *,29797,2022,26868,2021,23700,2020
Bulgaria *,29178,2022,26705,2021,22400,2020
Chile *,28887,2022,29104,2021,23300,2020
Saint Kitts and Nevis *,27782,2022,26256,2021,23300,2020
Uruguay *,27233,2022,24626,2021,21600,2020
Argentina *,26074,2022,23627,2021,19700,2020
Montenegro *,26032,2022,22795,2021,18300,2020
Mauritius *,25372,2022,22240,2021,19500,2020
Costa Rica *,24837,2022,23387,2021,19700,2020
Northern Mariana Islands *,—,—,—,—,24500,2016
Dominican Republic *,24120,2022,20769,2021,17000,2020
Serbia *,24084,2022,21432,2021,18200,2020
Turks and Caicos Islands *,—,—,23391,2021,21100,2020
Mexico *,22440,2022,20037,2021,17900,2020
Antigua and Barbuda *,22070,2022,19838,2021,18000,2020
Belarus *,21709,2022,21699,2021,19100,2020
China *,21291,[n 3]2022,19338,[n 4]2021,16400,[n 3]2020
Thailand *,21114,2022,19210,2021,17300,2020
Curaçao *,—,—,20681,2020,24500,2019
World,20181,[i]2022,18722,2021,17500,2017
Georgia *,19789,[n 5]2022,16997,[n 5]2021,14100,[n 5]2020
North Macedonia *,19783,2022,17918,2021,15800,2020
Equatorial Guinea *,19433,2022,18127,2021,17000,2020
Saint Martin (French part) *,—,—,—,—,19300,2005
Botswana *,19199,2022,17604,2021,16000,2020
Libya *,18945,2022,23357,2021,10300,2020
Turkmenistan *,18875,2022,16194,2019,15500,2019
Colombia *,18693,2022,16894,2021,13400,2020
Iran *,18663,2022,15791,2020,12400,2020
Grenada *,18436,2022,16680,2021,15100,2020
Gabon *,18088,2022,15598,2021,14400,2020
Bosnia and Herzegovina *,17899,2022,16847,2021,14300,2020
Albania *,17858,2022,15646,2021,13300,2020
Brazil *,17684,2022,16056,2021,14100,2020
Azerbaijan *,17448,2022,15843,2021,13700,2020
Suriname *,17350,2022,16676,2021,16100,2020
Barbados *,17314,2022,14817,2021,12900,2020
French Polynesia *,—,—,—,—,17000,2015
Armenia *,16798,2022,14630,2021,12600,2020
Cook Islands *,—,—,—,—,16700,2016
Moldova *,16483,[n 6]2022,15637,[n 6]2021,12300,[n 6]2020
Saint Lucia *,16417,2022,14051,2021,12300,2020
Egypt *,15959,2022,13316,2021,12000,2020
Saint Vincent and the Grenadines *,15786,2022,14021,2021,12100,2020
South Africa *,15556,2022,14420,2021,11500,2020
Peru *,15273,2022,13895,2021,11300,2020
Indonesia *,14638,2022,12904,2021,11400,2020
Paraguay *,14528,2022,13976,2021,12300,2020
Kosovo *,14352,2022,12721,2021,10800,2020
Ukraine *,14326,[n 7]2021,14220,[n 7]2021,12400,[n 7]2020
Sri Lanka *,14230,2022,14127,2021,12500,2020
Fiji *,13944,2022,12060,2021,11000,2020
Mongolia *,13611,2022,12863,2021,11500,2020
Algeria *,13324,2022,12038,2021,10700,2020
Palau *,13215,2022,16319,2020,17600,2019
Bhutan *,13077,2022,11129,2020,10900,2020
Vietnam *,13075,2022,11553,2021,8200,2020
Dominica *,13030,2022,11974,2021,9900,2020
Ecuador *,12763,2022,11661,2021,10300,2020
Tunisia *,12490,2022,11595,2021,9700,2020
Iraq *,12408,2022,10409,2021,9300,2020
Cuba *,—,—,—,—,12300,2016
Anguilla *,—,—,—,—,12200,2008
Jordan *,11975,2022,10952,2021,9800,2020
Jamaica *,11962,2022,10026,2021,8700,2020
Lebanon *,11377,2020,10691,2021,11600,2020
American Samoa *,—,—,—,—,11200,2016
Eswatini *,11054,2022,9816,2021,8400,2020
Nauru *,10834,2022,15103,2021,13500,2019
Namibia *,10791,2022,9805,2021,8900,2020
El Salvador *,10576,2022,9669,2021,8100,2020
Philippines *,10344,2022,9120,2021,8000,2020
Bolivia *,9933,2022,9030,2021,7900,2020
Guatemala *,9931,2022,9769,2021,8400,2020
Morocco *,9808,2022,8144,2021,6900,[n 8]2020
Belize *,9623,2022,6922,2021,6100,2020
Uzbekistan *,9478,2022,8497,2021,7000,2020
Laos *,9166,2022,8674,2021,7800,2020
Cape Verde *,8460,[n 9]2022,7028,[n 9]2021,6000,[n 9]2020
India *,8293,2022,7334,2021,6100,2020
Bangladesh *,7985,2022,6613,2021,4800,2020
"Saint Helena, Ascension andTristan da Cunha",—,—,—,—,7800,2010
Angola *,7455,2022,6581,2021,6200,2020
Nicaragua *,7154,2022,6332,2021,5300,2020
Venezuela *,7108,2022,17528,2011,7704,2018
Mauritania *,6925,2022,5592,2021,5000,2020
Ghana *,6780,2022,6178,2021,5300,2020
Honduras *,6769,2022,6253,2021,5100,2020
Tonga *,6663,2022,6694,2020,6400,2019
Pakistan *,6662,2022,5878,2021,4600,2020
Djibouti *,6514,2022,5926,2021,5500,2020
Ivory Coast *,6397,2022,5940,2021,5200,2020
Palestine *,6354,[n 10]2022,6200,[n 10]2021,54006220,[n 11]20202019
Kenya *,6122,2022,5024,2021,4200,2020
Tokelau *,—,—,—,—,6004,2017
Nigeria *,5884,2022,5459,2021,4900,2020
Samoa *,5882,2022,6420,2021,6300,2020
Tuvalu *,5844,2022,5082,2021,4400,2020
Niue *,—,—,—,—,5800,2003
Kyrgyzstan *,5771,2022,5288,2021,4700,2020
Cambodia *,5583,2022,4683,2021,4200,2020
Myanmar *,4830,2022,4345,2021,4500,[n 12]2020
Tajikistan *,4803,2022,4288,2021,3700,2020
São Tomé and Príncipe *,4710,2022,4446,2021,4100,2020
Congo *,4682,2022,3617,2021,3400,2020
Nepal *,4677,2022,4261,2021,3800,2020
Sudan *,4450,2022,4217,2021,4000,2020
Cameroon *,4419,2022,4065,2021,3600,2020
Marshall Islands *,4395,2022,4182,2021,4000,2019
Papua New Guinea *,4271,2022,4445,2021,4100,2020
Benin *,4183,2022,3789,2021,3300,2020
Senegal *,4113,2022,3769,2021,3300,2020
East Timor *,3904,2022,4418,2021,3200,2020
Zambia *,3808,2022,3624,2021,3300,2020
Wallis and Futuna *,—,—,—,—,3800,2004
Micronesia *,3675,2022,3544,2021,3500,2019
Ethiopia *,3434,2022,2600,2021,2300,2020
Tanzania *,3374,2022,2933,2021,2600,2020
Comoros *,3364,2022,3284,2021,3100,2020
Haiti *,3166,2022,3127,2021,2800,2020
Lesotho *,3028,2022,2682,2021,2300,2020
Uganda *,3018,2022,2398,2021,2200,2020
Guinea *,2993,2022,2879,2021,2700,2020
Syria *,6374,[11]2010,—,—,2900,2015
Vanuatu *,2858,2022,3105,2021,2800,2020
Guinea-Bissau *,2851,2022,2057,2021,1800,2020
Rwanda *,2836,2022,2494,2021,2100,2020
Burkina Faso *,2656,2022,2462,2021,2200,2020
Gambia,2640,2022,2434,2021,2200,2020
Togo *,2619,2022,2380,2021,2100,2020
Mali *,2609,2022,2447,2021,2200,2020
Zimbabwe *,2555,2022,2445,2021,2700,2020
Afghanistan *,2456,2020,2079,2020,2000,2020
Solomon Islands *,2336,2022,2656,2021,2500,2020
Kiribati *,2165,2022,2172,2020,2300,2020
Yemen *,2136,2022,3689,2013,2500,2017
Eritrea *,2078,2022,1626,2011,1600,2017
Sierra Leone *,1972,2022,1816,2021,1600,2020
Madagascar *,1790,2022,1635,2021,1500,2020
Chad *,1719,2022,1591,2021,1500,2020
North Korea *,—,—,—,—,1700,2015
Liberia *,1667,2022,1553,2021,1400,2020
Malawi *,1588,2022,1658,2021,1500,2020
Mozambique *,1457,2022,1342,2021,1200,2020
Niger *,1443,2022,1310,2021,1200,2020
DR Congo *,1328,2022,1219,2021,1100,2020
Somalia *,1322,2022,1303,2021,800,2020
Central African Republic *,1088,2022,1021,2021,900,2020
South Sudan *,934,2022,1235,2015,1600,2017
Burundi *,865,2022,793,2021,700,2020
